query,response,intent,domain
What is the fluid that surrounds and protects the brain and spinal cord called?,Cerebrospinal fluid,health inquiry,healthcare
What is the term for inflammation of the appendix?,Appendicitis,health inquiry,healthcare
Which of the following is responsible for the production of red blood cells?,Bone marrow,health inquiry,healthcare
What is the medical term for high blood pressure?,Hypertension,health inquiry,healthcare
Which part of the digestive system is responsible for absorbing nutrients into the bloodstream?,Small intestine,health inquiry,healthcare
What is the medical term for a heart attack?,Myocardial infarction,health inquiry,healthcare
Which of the following is responsible for blood clotting?,Platelets,health inquiry,healthcare
What is the medical term for inflammation of the joints?,Arthritis,health inquiry,healthcare
Which organ is responsible for producing bile to aid in digestion?,Liver,health inquiry,healthcare
What is the medical term for the voice box?,Larynx,health inquiry,healthcare
Which of the following is responsible for carrying oxygen in the blood?,Hemoglobin,health inquiry,healthcare
What is the medical term for the kneecap?,Patella,health inquiry,healthcare
What is the medical term for inflammation of the liver?,Hepatitis,health inquiry,healthcare
Which part of the eye is responsible for focusing light onto the retina?,Lens,health inquiry,healthcare
What Can I do to stop negative thoughts?,My advice would be to see a professional therapist. They will work with you and help you with the negative thoughts you are having. I wish you the very best,health inquiry,healthcare
What is the difference between Sociopath and Psychopath?,"Psychopaths tend to be more manipulative, can be seen by others as more charming, lead a semblance of a normal life, and minimize risk in criminal activities. Sociopaths tend to be more erratic, rage-prone, and unable to lead as much of a normal life.",health inquiry,healthcare
Is donated income taxable?,"Yes, it is still taxable income.",finance inquiry,finance
What determines the Stock Prices?,"The companys evaluation (based on assets, profitability, yearly income, profit to debt ratio, etc.) is what determines the market valuation of the company. Once the company goes public, then based on this valuation, the number of stock and shares prices are determined. Also, the key determining factor of the fluctuation of prices would be the buying/selling of shares. ",finance inquiry,finance
Can I trade without a Stockbroker?,"Trading without a stockbroker in India is NOT possible. Due to the several forgeries and other fraudulent cases that have taken place in the late 90s and early 2000s, the government of India digitalized stock market trading. ",finance inquiry,finance
Is becoming a millionaire a possibility by investing in the Stock Market?,"Yes, you can become a millionaire through the stock market. Its not about luck, but its about reading the market and determining your next move of buying or selling stocks. Furthermore, hard work, dedication and ethical thinking are the critical aspects in making at least 1000 rupees profit in todays market. ",finance inquiry,finance
 What does the term bull market signify in the stock market?,A market with increasing prices,finance inquiry,finance
Which order type allows you to buy or sell a stock immediately at the best available price?,Market order,finance inquiry,finance
Which financial statement provides information about a companys revenues and expenses over a specific period?,Income statement,finance inquiry,finance
What does the P/E ratio (Price-to-Earnings ratio) indicate?,The companys dividend payout ratio,finance inquiry,finance
What term refers to the practice of buying and selling the same stock multiple times in a single trading day?,Day trading,finance inquiry,finance
What is the purpose of diversifying a stock portfolio?,To reduce risk by investing in different assets or industries,finance inquiry,finance
Which stock exchange is located in New York and is considered the largest in the world by market capitalization?,New York Stock Exchange (NYSE),finance inquiry,finance
A dividend yield represents:,The ratio of dividends paid to a stocks current price,finance inquiry,finance
What is the primary role of the Securities and Exchange Commission (SEC) in the United States?,To protect investors and maintain fair and efficient markets,finance inquiry,finance
"When a stock is labeled as overbought, what does it mean?",The stocks price has risen too quickly and might be due for a price correction,finance inquiry,finance
What is the significance of the stock market index like the S&P 500?,It measures the performance of a specific group of stocks or the entire market.,finance inquiry,finance
"A companys earnings report exceeded expectations, yet its stock price declined. What could be a plausible reason for this?",Investors had already priced in the positive earnings expectations.,finance inquiry,finance
What is the purpose of a stop-loss order?,To limit losses by selling a stock if its price drops to a specified level.,finance inquiry,finance
 What is the formula to calculate the Return on Investment (ROI) for a stock?,(Current Stock Price  Purchase Price) / Number of Shares,finance inquiry,finance
"A companys board of directors declares a dividend of $0.50 per share. If you own 100 shares, how much dividend income will you receive?",$5,finance inquiry,finance
What does the term market capitalization represent for a company?,The total value of all outstanding shares of the companys stock,finance inquiry,finance
What is the difference between common stock and preferred stock?,Preferred stockholders receive dividends before common stockholders.,finance inquiry,finance
When does a stock split occur?,When a company divides its existing shares into multiple shares.,finance inquiry,finance
Which investment style focuses on identifying undervalued stocks and holding them for an extended period until their true value is recognized by the market?,Value investing,finance inquiry,finance
 What is a trailing stop order?,"An order that follows the stocks price as it rises, allowing for potential gains.",finance inquiry,finance
 Which type of risk is associated with changes in government regulations and policies that could impact the stock market?,Political risk,finance inquiry,finance
How is the Beta coefficient of a stock interpreted?,It measures the stocks sensitivity to market movements.,finance inquiry,finance
Which stock order remains in effect until it is executed or canceled by the investor?,Day order,finance inquiry,finance
What is the role of a stockbroker?,To facilitate trading between buyers and sellers in the stock market.,finance inquiry,finance
Which term refers to the practice of borrowing shares from a broker to sell them with the expectation of buying them back at a lower price in the future?,Short selling,finance inquiry,finance
How do dividends affect a companys stock price?,Higher dividends lead to higher stock prices,finance inquiry,finance
What is the primary purpose of Forex trading?,Trading currencies,finance inquiry,finance
What is the largest and most liquid financial market in the world?,Forex market,finance inquiry,finance
Which currency pair represents the Euro and the US Dollar?,EUR/USD,finance inquiry,finance
What does the term leverage mean in Forex trading?,The ratio of capital to debt in a trade,finance inquiry,finance
Which type of analysis involves studying economic indicators and news events to make trading decisions?,Fundamental analysis,finance inquiry,finance
What does a long position mean in Forex trading?,Buying a currency pair,finance inquiry,finance
Which factor does NOT influence exchange rates in the Forex market?,Weather conditions,finance inquiry,finance
What does the term pip stand for in Forex trading?,Price in points,finance inquiry,finance
Which currency is used as a benchmark in most Forex transactions?,US Dollar (USD),finance inquiry,finance
What is the best way to manage risk in Forex trading?,Diversifying the trading portfolio,finance inquiry,finance
n which session does the Forex market experience the highest trading volume?,New York session,finance inquiry,finance
What does the ask price represent in Forex trading?,The price at which the market will sell a currency pair,finance inquiry,finance
 What is a margin call in Forex trading?,A warning that the account balance is too low to support open positions,finance inquiry,finance
Which currency pair is typically the most volatile in the Forex market?,USD/JPY,finance inquiry,finance
 How are profits and losses expressed in Forex trading?,In pips,finance inquiry,finance
What is a lot in Forex trading?,The unit of measurement for the size of a trade,finance inquiry,finance
What is a spread in Forex trading?,The difference between the bid and ask price of a currency pair,finance inquiry,finance
Which type of analysis involves studying historical price data and chart patterns to make trading decisions?,Technical analysis,finance inquiry,finance
What is a stop-loss order in Forex trading?,An order to close a position at a specific price to limit losses,finance inquiry,finance
 Which of the following statements about Forex trading is true?,Forex trading involves significant risk and potential for profit.,finance inquiry,finance
What is a carry trade in Forex trading?,Borrowing money in a low-interest-rate currency and investing in a high-interest-rate currency,finance inquiry,finance
Which economic indicator measures the change in the price of goods and services over time?,Consumer Price Index (CPI),finance inquiry,finance
What is the role of a Forex broker in the trading process?,To execute trades and provide access to the Forex market,finance inquiry,finance
When is the best time to trade Forex to take advantage of high volatility?,"During overlapping trading sessions, like London and New York",finance inquiry,finance
Which currency is considered a safe-haven during times of economic uncertainty?,Japanese Yen (JPY),finance inquiry,finance
What is the minimum amount required to open a standard Forex trading account?,$100,finance inquiry,finance
Which central bank is responsible for managing monetary policy in the United States?,Federal Reserve (Fed),finance inquiry,finance
What is the spread of a currency pair?,The difference between the bid and ask price of a currency pair,finance inquiry,finance
Where is the Headquarters of the Bombay Stock Exchange?,Mumbai,finance inquiry,finance
How many Indices does the Bombay Stock Exchange has?,5 (Five),finance inquiry,finance
What are the Indices of the Bombay Stock Exchange?,"BSE SENSEX , S&P BSE SmallCap , S&P BSE MidCap ,S&P BSE LargeCap , BSE 500",finance inquiry,finance
What does S&P mean in the S&P 500?,Standard & Poors,finance inquiry,finance
 How many Indian Companies are included in the SENSEX?,30 Companies,finance inquiry,finance
How many Indian Companies are included in the NIFTY 50?, 50 Companies,finance inquiry,finance
 What is an IPO?,"Initial public offering , It is a public offering in which shares of a company are sold to institutional investors and retail investors.",finance inquiry,finance
Full Form of LTP?,Last Traded Price,finance inquiry,finance
CEO of Bombay Stock Exchange?,Sundararaman Ramamurthy,finance inquiry,finance
What is NSE?,The National Stock Exchange of India,finance inquiry,finance
Who is the MD & CEO of the National Stock Exchange?,Ashish Kumar Chauhan,finance inquiry,finance
What are the Indices of the National Stock Exchange?,"NIFTY 50 , NIFTY NEXT 50 , NIFTY 500",finance inquiry,finance
 Which country does NASDAQ Stock Exchange belong to?,America,finance inquiry,finance
What is SEBI?,Securities and Exchange Board of India,finance inquiry,finance
Nikkei is a stock market index for which exchange?,Tokyo Stock Exchange,finance inquiry,finance
 What are Blue Chip Companies?,A company whose share always provides profit,finance inquiry,finance
When was the National Stock Exchange of India Established?,1992,finance inquiry,finance
Full Form of SENSEX?,Stock Exchange Sensitive Index,finance inquiry,finance
Full Form of NIFTY?,National Stock Exchange Fifty,finance inquiry,finance
Where is the Bombay Stock Exchange located?,Dalal Street (Mumbai),finance inquiry,finance
When was SEBI founded?, 12 April 1992,finance inquiry,finance
Who does the registration of Brokers and Sub-Brokers?,SEBI,finance inquiry,finance
Worlds First Electronic Stock Exchange?,"NASDAQ (February 8, 1971)",finance inquiry,finance
Which Stock Exchange Nickname is Big Board?,New York Stock Exchange (NYSE),finance inquiry,finance
When was the SEBI Act launched?,1992,finance inquiry,finance
What is a Dividend?,Distribution of profits by a company or corporation to its shareholders.,finance inquiry,finance
irst International Exchange of India?,India International Exchange (India INX),finance inquiry,finance
 What is F&O?,Futures and Options,finance inquiry,finance
What is Commodity in Stock Market?,A commodity is a Raw Material or Primary Agricultural product or anything that can be bought and sold on the stock exchange.,finance inquiry,finance
Asias Oldest Stock Exchange?,Bombay Stock Exchange,finance inquiry,finance
 How many companies are listed on BSE?,More than 5000,finance inquiry,finance
How many Companies are listed on NSE?,More than 1600,finance inquiry,finance
First Dematerialized Electronic Exchange in India?,National Stock Exchange of India Limited,finance inquiry,finance
 Who manages Nifty 50?,NSE Indices Limited,finance inquiry,finance
What is Face Value?,Original cost of the stock on the certificate,finance inquiry,finance
What is Day Trading?,Someone who buys and sells shares over the Internet over a period of one day.,finance inquiry,finance
What is Long-Term Investing?,Someone who buys and holds a share for more than one day and sells shares over the Internet after a certain period.,finance inquiry,finance
What is PE Ratio?,PriceEarnings Ratio is Companys Share Price Vs Companys Earnings Per Share.,finance inquiry,finance
 What is Debt?,A Sum of money that is Owed or Due,finance inquiry,finance
What is Volatility in the Stock Market?,Rapid change of Share Price that is unpredictable,finance inquiry,finance
What is IRR?,Internal Rate of Return,finance inquiry,finance
What are the Major Industries and Sectors in the Indian Stock Market?,"Bank , HealthCare ,Construction , Education, FMCG, Agriculture, Telecommunication , IT , Pharmaceutical  , Mining, etc",finance inquiry,finance
What is CAGR?,Compound Annual Growth Rate,finance inquiry,finance
What is Technical Analysis?,It is the Analysis of a Companys Financial by looking at the history of its share price. Analysts study the Market Data or Patterns to identify trends and make predictions.,finance inquiry,finance
 What are Support and Resistance?,Share Price level at which it is thought that the price will tend to Stop and Reverse.,finance inquiry,finance
Full-Form of GST?, Goods and Services Tax,finance inquiry,finance
 What is Candlestick Chart in Trading?,It is a chart used by traders to determine possible price movements by studying past patterns.,finance inquiry,finance
What is NPA?,Non Performing Assets,finance inquiry,finance
What is Mutual Fund?,"It is a managed Investment Fund, A Pool of Money collected from many investors to invest in securities like stocks, bonds, and other assets.",finance inquiry,finance
How many Departments does SEBI have?, 20 Departments,finance inquiry,finance
What is an Asset?,Any resource or property owned by a person or company,finance inquiry,finance
What is Liability?,It is a sum of money legally responsible for something or that you owe to someone.,finance inquiry,finance
What is the difference between Stock vs Share?,"Stock: Ownership Certificates of Any Company , Share: Ownership Certificates of a Particular Company",finance inquiry,finance
Can you buy Stocks or Shares directly from the Stock Exchange?,"No, One can only buy shares through Stockbrokers",finance inquiry,finance
What is a Discount Stockbroker?,A Broker who provides trading services at a reduced commission rate.,finance inquiry,finance
Top Discount Stockbrokers in India?,"Zerodha , Upstox , 5paisa , SAMCO , Master Trust",finance inquiry,finance
 What is a Demat Account?, Account to hold Shares in Electronic Form,finance inquiry,finance
What is a Trading Account?,An account opened at a Stockbroker for trading stocks.,finance inquiry,finance
Normal Trading Time in India?,9:15 AM to 03:30 PM,finance inquiry,finance
What is the Base year of NIFTY?,03-Nov-95,finance inquiry,finance
 What is the Base year of Sensex?,1978-79,finance inquiry,finance
What is Equity?,Equity is the ownership of assets that may have debts or other liabilities attached to them.,finance inquiry,finance
What is Square Off?,"Squaring off is a trading style used by traders in day trading, in which a trader buys or sells a particular quantity of stocks. Later on, that day reverses the transaction in the hope of earning a profit.",finance inquiry,finance
What is EBITDA?,"Earnings Before Interest, Taxes, Depreciation, and Amortization",finance inquiry,finance
What is Revenue?, An income that a business has from its normal business activities,finance inquiry,finance
Where is the headquarter of SEBI?,Mumbai,finance inquiry,finance
What is Market Capitalization?,Worth of a company in terms of its shares,finance inquiry,finance
What is a Stock Split?, Stock Split increases the number of shares in a company but the market capital remains intact.,finance inquiry,finance
What are ETFs?,Exchange-Traded Funds,finance inquiry,finance
 Who is a Retail Investor?,"An individual investor who buys and sells securities, mutual funds, and ETFs through online brokerage firms.",finance inquiry,finance
 Who is an Institutional Investor?, A company or organization that invests money on behalf of other people,finance inquiry,finance
What is the name of the order that you place to Buy/Sell a share at a specific price?,Limit Order,finance inquiry,finance
What is a Market Price Order?,Buying/Selling Price of a share on the open market at a given point in time.,finance inquiry,finance
Which organization Controls the Share Market in India?,SEBI,finance inquiry,finance
What is FPO?,Follow-On Public Offering,finance inquiry,finance
What does Delivery mean in Stock Market?,Buying shares and holding them for more than one day,finance inquiry,finance
What are the Two Depositories in India?,National Securities Depository Limited (NSDL) and Central Depository Services Limited (CDSL),finance inquiry,finance
When does the share you Buy get into your Demat account in India?, T+2 Days (Where T is the trading day),finance inquiry,finance
When does the share you Sell move from your Demat account in India?,T+2 Days,finance inquiry,finance
What do Bonus Shares in the ratio of 5:1 mean?, One bonus share for every five shares held,finance inquiry,finance
Who is the founder of Zerodha?,Nithin Kamath,finance inquiry,finance
List of Top Largest Companies in India by Market Cap?," Indian Oil Corporation , Reliance Industries Limited ,  Oil and Natural Gas Corporation, State Bank of India , Tata Motors ,  Bharat Petroleum , Hindustan Petroleum",finance inquiry,finance
What is a Recession?, It is a period of temporary economic fall. During this period trade and industrial activity are reduced and identified by a fall in GDP in two successive quarters.,finance inquiry,finance
What is FD?,"A Fixed Deposit (FD) is a type of deposit, provided by banks or NBFCs that gives you a fixed rate of interest after maturity. The rate of interest is higher than in a regular savings account.",finance inquiry,finance
What is NBFC?,Non-Banking Financial Company,finance inquiry,finance
What is EPS?,Earning Per Share,finance inquiry,finance
What are Penny Stocks?,A share whose value is less than one dollar (or say less than ?100).,finance inquiry,finance
What is a Bull Market?,Condition of a Stock Market in which share prices are rising or expected to rise.,finance inquiry,finance
What is a Bear Market?, Condition of a Stock Market in which share prices are falling or expected to fall.,finance inquiry,finance
When did MCX begin its operations in India?,Nov-03,finance inquiry,finance
When was Bangalore Stock Exchange closed?,2014,finance inquiry,finance
 Which stock exchange was closed in 2018?,Ahmedabad Stock Exchange,finance inquiry,finance
What is a Circuit Breaker in Stock Market?,Regulatory measures taken by the Stock Exchange to temporarily halt trading. This is done to prevent stock market crashes from occurring.,finance inquiry,finance
What are Derivatives?,A contract that derives its value from the performance of an underlying entity,finance inquiry,finance
hat are the two types of Derivatives?,Futures and Options,finance inquiry,finance
What is Fundamental Analysis?,"nalysing the financial statements of a company. Fundamental Analyst looks for 3 major analyses: Company analysis , Industry analysis , Economy analysis",finance inquiry,finance
What is Technical Analysis?,Analysis of a company by patterns in market data (Say Share Price) to identify trends and make predictions. It helps in forecasting the future price of the share based on historical movements of the share price.,finance inquiry,finance
What is SIP?,Systematic Investment Plan,finance inquiry,finance
Who is widely regarded as the most successful investor in the world?,Warren Buffett,finance inquiry,finance
How many parts is the Debt Market divided?,3 Parts 1) Government securities Market 2) Money Market 3) Corporate Debt Market,finance inquiry,finance
What is a Stop Loss Order?, It is an order that is placed with a broker to buy or sell once the stock reaches a certain price. Stop Loss order is mainly used to limit an investors loss on a security position.,finance inquiry,finance
 What is DJIA?,Dow Jones Industrial Average (Market Index),finance inquiry,finance
"Who is Indias, Warren Buffett?",Rakesh Jhunjhunwala,finance inquiry,finance
What is ASAP Digital Saving Account?,"ASAP Digital Savings Account is the new age digital savings Account offered by Axis Bank. All you need is your Aadhaar, PAN & other basic details. Since this process is completed through a Video verification, kindly ensure you are using a camera enabled device.",finance inquiry,finance
What are the interest rates for Savings Account?,"Bank ensures competitive returns on your deposited funds. With a focus on financial growth and increased savings, we offer attractive interest rates from 3% to 3.50%. By opening a Savings Account with Bank, you can enjoy the benefits of reliable and secure banking.",finance inquiry,finance
What is the minimum balance required to be maintained in Savings Account?,"Savings Account provides an easy way to save money and offers a fixed rate of interest. A minimum balance of up to Rs 10,000 per month is required to be maintained",finance inquiry,finance
How is the Minimum Monthly Average Balance (MAB) calculated?,he Monthly Average Balance (MAB) is calculated on a simple average of EOD balances for a calendar month. The MAB is calculated by adding the closing ledger balance of the account of each day from the start of the month to the end of the month. Then the total sum is divided by the number of days in that month.,finance inquiry,finance
Can I get a chequebook after opening a Savings Account?,Your chequebook will be issued only upon request after you have successfully completed your KYC verification. You can request for a chequebook by logging in to Bank Internet Banking or the iMobile App. iMobile App: Go to Services > Chequebook Services > Issue Chequebook Internet Banking: Go to Bank Accounts > Accounts > Chequebook request,finance inquiry,finance
Is PAN Card mandatory to open a Savings Account?,Yes. PAN Card is mandatory to open your Savings Account.,finance inquiry,finance
Will I receive a Debit Card after opening a Savings Account?,Yes. You will receive a Debit Card at your registered address once your account is successfully opened.,finance inquiry,finance
How do I register for Internet Banking and Mobile Banking services?,"Once your Savings Account is successfully opened, you can log in to the iMobile App, set your 4-digit passcode and start exploring. For Internet Banking, you can generate your password with the User ID which was provided to you after opening the Savings Account.",finance inquiry,finance
How to update Mobile Number in my Savings Account?,"You can update Mobile Number through any of the following modes:  Bank ATM: Visit any  Bank ATM > Select More options > Register your mobile > Enter the mobile number. Your mobile number will be updated in 1 working day. Bank Branch: Visit any Bank Branch along with your original photo ID proof. Once the request is placed, your mobile number will be updated in 2 working days. To locate the nearest Bank Branch, visit https://maps.bank.com/mobile We have discontinued mobile number registration/ de-registration/ modification through our Customer Care and Internet Banking due to security reasons.",finance inquiry,finance
How to generate Internet Banking password for my Savings Account?,"You will be able to place a request for the generation of Internet Banking Password through any of the following modes:Internet Banking: You can generate your password at www.bank.com > Click on Internet Banking (Bottom of the page) > Get started > I want my Password Customer Care: You may place a request by calling our Customer Care between 7:00 a.m. and 9:00 p.m. from your registered mobile number. Bank Branch: Visit any  Bank Branch along with original photo ID proof. To locate the nearest Bank Branch, visit https://maps.bank.com/mobile",finance inquiry,finance
What is Savings Account Portability?,"You can request to transfer your Savings Account from one  Bank Branch to another through Internet Banking, iMobile App, Customer Care or by submitting a written request at any  Bank Branch.",finance inquiry,finance
What is FATCA declaration?,"FATCA stands for Foreign Account Tax Compliance Act. As per regulatory guidelines, all banks have to collect FATCA from every customer who opens a Savings Account. FATCA came into being to combat tax evasion and to ensure strict adherence to tax rules. Its main objective is to identify and prevent offshore tax avoidance by the US citizens or residents.",finance inquiry,finance
How do I access my Virtual Debit Card on the iMobile App?,Click Debit Card on the Home Page Get the details of your Virtual Debit Card Select your Card and click on Manage All Services.,finance inquiry,finance
Why do I have to add a nominee for my Savings account?,"It is important to add a nominee for all your assets so that the assets reach the right person in case of your death. The nominee you select must be a reliable person who can take care of the asset. Below are the rights of the nominee:He / She has no right over your money unless specified in the willA Nominee is a mere custodian He / She is the contact person for the account, in case the account holder is not reachable or in event of the account holders death The nominee directs the court on how to go about the account in case of the account holders demise At the time of claiming the deposit, the nominee will have to provide identification proof If the nominee is a minor, the guardian will sign on his/her behalf. We require the nominees and the guardians name, address and photograph.",finance inquiry,finance
What is the process to convert a minor Savings account to a major Savings account?,Visit any  Bank Branch with the originals and copies of the following documents to make this transition seamless: Identity/Address proof: Valid Passport/ Aadhaar Card/ Driving Licence/ Voter ID/ NREGA job card Recent passport size colour photograph PAN Card/ Form 60,finance inquiry,finance
Can I opt for multicity/ local cheque book through ATM?,"Yes, Customer have a choice of selecting local/ multicity cheque however no frill,student ,semi urban and rural account holders will get a local cheque book.",finance inquiry,finance
How much withdrawal and deposits can be done in  Bank per month?,"Cash transactions (deposits and withdrawals) at the base branch i.e. all branches/ Cash Acceptor Machine in the same city:  Nil for the first 4 transactions in a month; thereafter ?5 per thousand rupees or part thereof, subject to a minimum of ?150 in the same month (Maximum limit for Self: Any Amount and for third party: ?50,000 per day). Anywhere Cash withdrawal charges for customer or customer's representative to debit the customer's own savings account at a non-base branch i.e. branch in other city. ",finance inquiry,finance
Can I transact using any alternate mode every month?,"Yes, you can use any alternate mode of payment but make sure at least 3 same mode should be active for 6 months.",finance inquiry,finance
What type of transactions are not considered under Bill Pay?,Prepaid and DTH recharge are not considered.,finance inquiry,finance
Can I use any debit card to avail the cash back offer?,"No, only Expression Debit Card used for non-cash debit transactions are considered for the cash back offer.",finance inquiry,finance
What type of transactions are not considered under Standing Instruction (SI) facility?,SI set up for credits into savings account within  Bank will not be considered.,finance inquiry,finance
From which month my transactions will be considered for the cashback offer?,Transactions will be considered from T 2 month where T is the month of enrolment when customer got his savings account enrolled under Spend2Earn Programme.,finance inquiry,finance
I want to know the minimum balance policy for savings account?,The details regarding the Terms & Conditions and Monthly Average Balance/ service charges pertaining to the savings account (Based on the type of account you are holding) have been updated on our website www.bank.com > Rates and Charges (Bottom of the page) > Service Charges and Fees > Personal Banking > Savings Accounts.,finance inquiry,finance
How will the interest rate be assigned to Child Education Plan?,"Child Education Plan will earn prevailing fixed deposit interest rates for the entire deposit period, i.e. same rate of interest in Investment and Benefit Phases. The rate of interest applied will be as per the total tenure of Child Education Plan, including both Investment and Benefit Phases. Even if the rate of interest changes, the Child Education Plan will continue to earn the contracted rate of interest in both the phases.",finance inquiry,finance
What is the minimum installment amount for Child Education Plan?,The minimum installment amount for Child Education Plan is Rs. 500 and thereafter in multiples of Rs. 100.,finance inquiry,finance
At what frequency will the payouts be credited to my child's Youngstar Savings Account?,The frequency of the equated payouts will be chosen by you while filling up the form for investing in this Plan. The periodicity of payout can be chosen as either Quarterly or Annual.,finance inquiry,finance
Can I prematurely close the Child Education Plan deposit?,"Yes, the Child Education Plan can be prematurely closed. However, interest on Deposit shall be paid to the Depositor/s only for such period for which the deposit is maintained with  Bank, instead of the entire tenure, at a rate which is applicable for such period and shall also be subject to deduction of applicable penal interest at such rate as may be specified by  Bank.",finance inquiry,finance
Can I partially withdraw from the Child Education Plan?,No.,finance inquiry,finance
Can I take a loan on the Child Education Plan?,"Yes. A loan of 90% will be sanctioned against the principal account balance of the Recurring Deposit in Investment Phase. In the Benefit Phase, the loan will be available at 75% against the remaining account balance of the FD and not the original principal amount. ",finance inquiry,finance
Can I set up a Standing Instruction for installment payment in the Child Education Plan?,"Yes, you can set up standing instructions through your  Bank Account for paying the installments of the Child Education Plan in the Investment Phase. ",finance inquiry,finance
What is an Easy Receive Account?,Easy receive account is a resident savings bank account for customers who receive remittances from abroad. This account will cater to the domestic banking needs while offering additional benefits for remittances received in the account.,finance inquiry,finance
What is Child Education Plan?,"Bank presents Child Education Plan, a unique way to save for your child's future. To fulfill your child's dream & aspirations, begin by making small investments in a Recurring Deposit for a short tenure and receive regular payouts for the rest of the tenure in your child's Youngstar Savings Account. ",finance inquiry,finance
What is the Salary eligibility for opening a Salary Account?,Any individual employed in any organisation and drawing a monthly salary can open a Salary Account with  Bank.  Bank offers Salary Account for every life stage basis the salary bracket. ,finance inquiry,finance
What documents are required for opening a Salary Account ?,"You need the following documents to open a Salary Account with  Bank: Original PAN Card , Original Aadhar Card.",finance inquiry,finance
Do we have to maintain any Average Balance in a Salary Account once it is active?,"No, there is no requirement to maintain Average Monthly Balance in case of a Salary Account.",finance inquiry,finance
Do we get a Debit Card with a Salary Account?,Yes.,finance inquiry,finance
Are there any charges for a Debit Card?,Debit Card offered with a Salary Account is complimentary except for Regular Salary Account.,finance inquiry,finance
Will I get a Cheque Book for my Salary Account?,Yes,finance inquiry,finance
"Do we get any Insurance benefit with a Salary Account? If yes, what is the condition to get the claim?",A salaried customer who is getting salary credit in  Bank Account will get Personal Accidental Death Insurance and Air Accidental Death Insurance basis his/her Salary Account variant. ,finance inquiry,finance
Can we extend the Salary Account benefits to Family Members?,"Yes, you can extend Salary Account benefits to 5 more accounts - parents, spouse & children.",finance inquiry,finance
Is there any RM assigned to Salary Account Customers?,"Yes, an RM is assigned to Salaried Customers basis the Account variant. ",finance inquiry,finance
Why do I have to add nominee to my Salary Account?,"Nominee addition is necessary because in case of any unfortunate event with the account holder, the nominee will obtain all the benefits and funds.",finance inquiry,finance
How to Open a Demat Account,"You can download the account opening forms from the site and submit them at our branches offering Demat services. You can also visit the branches offering Demat service for opening the Demat Account There is no fee for opening a DP account with Bank. However, a nominal fee towards services is levied as per our Standard Rate Card.",finance inquiry,finance
Credit Card Fees & Interest Rates,"Joining/Annual FeeThe Joining Fee is an initial cost to own the Card. It varies from bank to bank and on the type of card you apply for. It is usually followed by an Annual Charge. Interest Charge	Interest Charges are levied on all new transactions and on outstanding dues, due to non-payment by the due date. The maximum charge is 3.75%, per month.",finance inquiry,finance
Types of Credit Cards you offer,"Reward Credit Cards - Maximise your spending and earn rewards with a great credit card that fits your lifestyle and financial needs. Fuel Credit Cards - Save money on gas and earn rewards with a fuel credit card that's designed for drivers like you. Travel Credit Cards - Travel more, spend less with a travel credit card that earns you rewards, miles, and perks on every adventure.",finance inquiry,finance
What is a Credit Card?,"A Credit Card is a payment card that allows you to make purchases without immediate payment. It is widely accepted and you need not carry cash with you always. Your bank issues this card based on your income and other eligibility criteria. They set a limit on how much you can spend. However, you have to pay back the amount you spend within a specific time. If you are late in making the payment, you will have to pay the interest along with some additional charges.",finance inquiry,finance
What is a Credit Card balance?,"A Credit Card balance is the available balance from the sanctioned credit amount, which a Cardholder can use to purchase goods through the following methods: Online, Point of Sale, Cash Withdrawal etc.",finance inquiry,finance
What is a Credit Card Statement?,A Credit Card Statement is a summary of spends and payments made through the Credit Card during the specific period of credit cycle.,finance inquiry,finance
What are Reward Points and how does one use them?,"Reward Points are awarded against retail purchases on your  Bank Credit Card, which may differ between cards. It can be redeemed on our reward platform.",finance inquiry,finance
Can I use my Credit Card for international transactions?,You can activate your Credit Card for International transactions through Mobile Pay or Retail Internet Banking (RIB).,finance inquiry,finance
What is a RuPay Credit Card?,"A RuPay Credit Card is an innovative financial instrument seamlessly integrated with the RuPay payment network. The  Bank RuPay Credit Card enhances your transactional experience, offering an array of rewards, discounts and leisure benefits, making it an optimal choice for your everyday expenditures.",finance inquiry,finance
How to check the application status of  Bank Credit Card?,"To check the status of your  Bank Credit Card application, visit www.bank.com > Log in > Track application > Enter details > Submit. Existing  Bank customers can also track their applications through Mobile Pay. Log in to Mobile App > Services > Card Services > Track My Application.To know more visit Credit Card Application Status ",finance inquiry,finance
How can I get my CVV number without my card?,You can get your ICICI Bank Credit Card CVV number through the iMobile Pay app. Log in to iMobile App > Cards & Forex > Select the specific Credit Card. The Virtual Credit Card facilitates online transactions and the CVV is essential for processing digital purchases. Access your CVV conveniently for secure online shopping.,finance inquiry,finance
Can I use RuPay Credit Card to make payments via UPI?,"Yes, linking your UPI Rupay Credit Card to iMobile App or UPI apps enables contactless payments without requiring a contact number. Scan any Merchant QR code, validate the payment and complete the seamless contactless payment process",finance inquiry,finance
What are the documents required to apply for a Credit Card?,"When you apply for a Credit Card in India, you are required to provide certain documents.  Bank requires proof of identity, proof of address and proof of income documents. Ensure you have these documents ready before you start the online application process.",finance inquiry,finance
How to apply for an Add-on Credit Card?,"To apply for an Add-on Credit Card with  Bank, log in to your Internet Banking Account and select the Add-on Credit Card option. Complete the Credit Card application form with the required details of the additional cardholder. Alternatively, you can visit any  Bank Branch to apply for an Add-on Credit Card.",finance inquiry,finance
